train_site,test_site,regime,LogReg,RandomForest,MLP
Cleveland,Cleveland,same hospital,0.8700210563256712,0.8612037199508686,0.8262414458676961
Cleveland,Hungary,new hospital,0.8751505419510237,0.8775341228422322,0.8717884383781614
Cleveland,Switzerland,new hospital,0.7141304347826087,0.7891304347826087,0.7652173913043478
Cleveland,VA,new hospital,0.7343729438083959,0.7282537175944204,0.7093696539018293
Hungary,Cleveland,new hospital,0.8363309352517985,0.8295314967538165,0.8316371293209336
Hungary,Hungary,same hospital,0.8838819751103975,0.8687023283821759,0.8509132878362103
Hungary,Switzerland,new hospital,0.7358695652173912,0.798913043478261,0.775
Hungary,VA,new hospital,0.7601658112909593,0.7178576128437952,0.7126595604684828
Switzerland,Cleveland,new hospital,0.5756273030356203,0.7969161256360764,0.5710212317950517
Switzerland,Hungary,new hospital,0.6665997591328783,0.84436471296668,0.5719590525893216
Switzerland,Switzerland,same hospital,0.6413043478260869,0.6467391304347827,0.6456521739130435
Switzerland,VA,new hospital,0.6092248980128964,0.6082379260429003,0.6063297802342413
VA,Cleveland,new hospital,0.8475609756097561,0.8059747324091946,0.6827513598876995
VA,Hungary,new hospital,0.887745885186672,0.8539241268566841,0.6698113207547169
VA,Switzerland,new hospital,0.7,0.7228260869565217,0.7456521739130435
VA,VA,same hospital,0.6994341360705356,0.6475194104487432,0.5282273983418869
